Pid,Uid,Catname,Region,Time,neighbors,forward_neighbors
14_44_23,"[10, 12, 55, 58, 58, 74, 75, 116, 120, 139, 182, 224, 224, 224, 224, 224, 224, 224, 224, 224]",[14],[44],"[0, 1, 2, 3, 4, 5, 6, 7, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[10, 12, 55, 58, 58, 74, 75, 116, 120, 139, 182, 224, 224, 224, 224, 224, 224, 224, 224, 224]","[10, 12, 55, 58, 58, 74, 75, 116, 120, 139, 182, 224, 224, 224, 224, 224, 224, 224, 224, 224]"
9_34_24,"[17, 23, 23, 35, 57, 79, 90, 109, 115, 119, 134, 209, 211, 212, 228, 228, 228, 243, 243, 243]",[9],[34],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[17, 23, 23, 35, 57, 79, 90, 109, 115, 119, 134, 209, 211, 212, 228, 228, 228, 243, 243, 243]","[17, 23, 23, 35, 57, 79, 90, 109, 115, 119, 134, 209, 211, 212, 228, 228, 228, 243, 243, 243]"
15_83_25,"[16, 16, 16, 16, 16, 20, 53, 56, 56, 56, 56, 61, 75, 75, 75, 75, 75, 83, 83, 96]",[15],[83],"[0, 1, 2, 3, 4, 6, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[16, 16, 16, 16, 16, 20, 53, 56, 56, 56, 56, 61, 75, 75, 75, 75, 75, 83, 83, 96]","[16, 16, 16, 16, 16, 20, 53, 56, 56, 56, 56, 61, 75, 75, 75, 75, 75, 83, 83, 96]"
0_55_26,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",[0],[55],"[0, 1, 2, 3, 4, 6, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]"
16_94_27,"[777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777]",[16],[94],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]","[777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777]","[777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777]"
12_35_28,"[293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293]",[12],[35],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 16, 17, 18, 19, 20, 21, 22, 23]","[293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293]","[293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293, 293]"
17_93_29,"[438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438]",[17],[93],"[0, 1, 2, 3, 4, 5, 6, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438]","[438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438, 438]"
18_44_30,"[8, 16, 22, 25, 40, 53, 115, 142, 142, 157, 160, 175, 190, 190, 190, 227, 232, 240, 257, 265]",[18],[44],"[0, 1, 4, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[8, 16, 22, 25, 40, 53, 115, 142, 142, 157, 160, 175, 190, 190, 190, 227, 232, 240, 257, 265]","[8, 16, 22, 25, 40, 53, 115, 142, 142, 157, 160, 175, 190, 190, 190, 227, 232, 240, 257, 265]"
3_25_31,"[23, 23, 23, 23, 23, 26, 26, 26, 26, 26, 26, 26, 36, 36, 73, 98, 173, 244, 246, 246]",[3],[25],"[0, 1, 2, 4, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[23, 23, 23, 23, 23, 26, 26, 26, 26, 26, 26, 26, 36, 36, 73, 98, 173, 244, 246, 246]","[23, 23, 23, 23, 23, 26, 26, 26, 26, 26, 26, 26, 36, 36, 73, 98, 173, 244, 246, 246]"
19_13_32,"[16, 35, 35, 126, 190, 263, 355, 369, 396, 442, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501]",[19],[13],"[0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]","[16, 35, 35, 126, 190, 263, 355, 369, 396, 442, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501]","[16, 35, 35, 126, 190, 263, 355, 369, 396, 442, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501]"
11_45_33,"[70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 161, 161, 161, 161]",[11],[45],"[0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]","[70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 161, 161, 161, 161]","[70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 161, 161, 161, 161]"
20_44_34,"[4, 28, 37, 48, 62, 66, 92, 119, 119, 120, 125, 125, 133, 134, 139, 152, 152, 152, 165, 165]",[20],[44],"[0, 1, 2, 3, 4, 5, 6, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[4, 28, 37, 48, 62, 66, 92, 119, 119, 120, 125, 125, 133, 134, 139, 152, 152, 152, 165, 165]","[4, 28, 37, 48, 62, 66, 92, 119, 119, 120, 125, 125, 133, 134, 139, 152, 152, 152, 165, 165]"
20_44_35,"[3, 7, 11, 11, 11, 18, 19, 19, 19, 28, 58, 63, 66, 66, 67, 67, 67, 67, 73, 88]",[20],[44],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[3, 7, 11, 11, 11, 18, 19, 19, 19, 28, 58, 63, 66, 66, 67, 67, 67, 67, 73, 88]","[3, 7, 11, 11, 11, 18, 19, 19, 19, 28, 58, 63, 66, 66, 67, 67, 67, 67, 73, 88]"
11_44_36,"[7, 21, 21, 61, 131, 176, 190, 250, 250, 263, 264, 264, 264, 264, 321, 340, 346, 361, 361, 361]",[11],[44],"[0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[7, 21, 21, 61, 131, 176, 190, 250, 250, 263, 264, 264, 264, 264, 321, 340, 346, 361, 361, 361]","[7, 21, 21, 61, 131, 176, 190, 250, 250, 263, 264, 264, 264, 264, 321, 340, 346, 361, 361, 361]"
3_55_37,"[0, 29, 29, 29, 43, 43, 43, 43, 47, 47, 47, 51, 53, 60, 60, 60, 60, 69, 97, 102]",[3],[55],"[0, 4, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 29, 29, 29, 43, 43, 43, 43, 47, 47, 47, 51, 53, 60, 60, 60, 60, 69, 97, 102]","[0, 29, 29, 29, 43, 43, 43, 43, 47, 47, 47, 51, 53, 60, 60, 60, 60, 69, 97, 102]"
21_34_38,"[23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23]",[21],[34],"[3, 11, 12, 13, 14, 15, 16, 17, 18]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
22_44_39,"[152, 152, 152, 152, 152, 247, 247, 247, 247, 247, 247, 247, 247, 247, 298, 644, 725, 725, 725, 725]",[22],[44],"[0, 1, 4, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[152, 152, 152, 152, 152, 247, 247, 247, 247, 247, 247, 247, 247, 247, 298, 644, 725, 725, 725, 725]","[152, 152, 152, 152, 152, 247, 247, 247, 247, 247, 247, 247, 247, 247, 298, 644, 725, 725, 725, 725]"
11_26_40,"[170, 170, 190, 190, 196, 340, 340, 361, 361, 361, 361, 474, 474, 474, 474, 474, 474, 474, 474, 474]",[11],[26],"[0, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[170, 170, 190, 190, 196, 340, 340, 361, 361, 361, 361, 474, 474, 474, 474, 474, 474, 474, 474, 474]","[170, 170, 190, 190, 196, 340, 340, 361, 361, 361, 361, 474, 474, 474, 474, 474, 474, 474, 474, 474]"
6_47_41,"[16, 16, 16, 33, 33, 48, 56, 61, 113, 181, 181, 184, 185, 194, 197, 203, 203, 213, 216, 257]",[6],[47],"[0, 2, 3, 4, 8, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[16, 16, 16, 33, 33, 48, 56, 61, 113, 181, 181, 184, 185, 194, 197, 203, 203, 213, 216, 257]","[16, 16, 16, 33, 33, 48, 56, 61, 113, 181, 181, 184, 185, 194, 197, 203, 203, 213, 216, 257]"
23_22_42,"[744, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811]",[23],[22],"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[744, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811]","[744, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811]"
20_55_43,"[0, 4, 37, 37, 41, 47, 58, 58, 74, 88, 89, 89, 102, 117, 117, 119, 122, 137, 137, 137]",[20],[55],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]","[0, 4, 37, 37, 41, 47, 58, 58, 74, 88, 89, 89, 102, 117, 117, 119, 122, 137, 137, 137]","[0, 4, 37, 37, 41, 47, 58, 58, 74, 88, 89, 89, 102, 117, 117, 119, 122, 137, 137, 137]"
24_44_44,"[4, 55, 63, 79, 99, 109, 125, 125, 125, 125, 125, 125, 139, 145, 145, 145, 177, 177, 177, 186]",[24],[44],"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23]","[4, 55, 63, 79, 99, 109, 125, 125, 125, 125, 125, 125, 139, 145, 145, 145, 177, 177, 177, 186]","[4, 55, 63, 79, 99, 109, 125, 125, 125, 125, 125, 125, 139, 145, 145, 145, 177, 177, 177, 186]"
6_44_45,"[16, 16, 16, 21, 35, 40, 40, 50, 50, 50, 50, 77, 87, 88, 92, 117, 140, 140, 186, 202]",[6],[44],"[0, 1, 2, 3, 4, 5, 6, 8, 9, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23]","[16, 16, 16, 21, 35, 40, 40, 50, 50, 50, 50, 77, 87, 88, 92, 117, 140, 140, 186, 202]","[16, 16, 16, 21, 35, 40, 40, 50, 50, 50, 50, 77, 87, 88, 92, 117, 140, 140, 186, 202]"
9_3_46,"[3, 53, 94, 94, 94, 104, 148, 190, 190, 284, 289, 322, 322, 322, 322, 322, 322, 322, 322, 322]",[9],[3],"[0, 1, 2, 3, 4, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[3, 53, 94, 94, 94, 104, 148, 190, 190, 284, 289, 322, 322, 322, 322, 322, 322, 322, 322, 322]","[3, 53, 94, 94, 94, 104, 148, 190, 190, 284, 289, 322, 322, 322, 322, 322, 322, 322, 322, 322]"
5_45_47,"[1, 21, 44, 51, 67, 69, 115, 122, 137, 137, 137, 137, 137, 137, 137, 137, 137, 137, 137, 137]",[5],[45],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[1, 21, 44, 51, 67, 69, 115, 122, 137, 137, 137, 137, 137, 137, 137, 137, 137, 137, 137, 137]","[1, 21, 44, 51, 67, 69, 115, 122, 137, 137, 137, 137, 137, 137, 137, 137, 137, 137, 137, 137]"
7_44_48,"[16, 51, 76, 76, 76, 76, 76, 76, 76, 76, 76, 79, 99, 102, 145, 177, 177, 177, 177, 177]",[7],[44],"[0, 3, 5, 6, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[16, 51, 76, 76, 76, 76, 76, 76, 76, 76, 76, 79, 99, 102, 145, 177, 177, 177, 177, 177]","[16, 51, 76, 76, 76, 76, 76, 76, 76, 76, 76, 79, 99, 102, 145, 177, 177, 177, 177, 177]"
3_44_49,"[17, 17, 17, 19, 32, 32, 40, 41, 51, 63, 85, 85, 97, 97, 97, 100, 115, 115, 115, 115]",[3],[44],"[0, 1, 2, 3, 4, 5, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[17, 17, 17, 19, 32, 32, 40, 41, 51, 63, 85, 85, 97, 97, 97, 100, 115, 115, 115, 115]","[17, 17, 17, 19, 32, 32, 40, 41, 51, 63, 85, 85, 97, 97, 97, 100, 115, 115, 115, 115]"
25_27_50,"[318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318]",[25],[27],"[0, 1, 2, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318]","[318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318, 318]"
26_44_51,"[95, 102, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108]",[26],[44],"[0, 1, 2, 3, 5, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[95, 102, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108]","[95, 102, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108]"
11_5_52,"[104, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170]",[11],[5],"[0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[104, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170]","[104, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170]"
3_44_53,"[10, 16, 36, 48, 51, 66, 69, 69, 72, 72, 96, 98, 115, 115, 115, 115, 115, 115, 115, 115]",[3],[44],"[0, 1, 2, 3, 4, 6, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[10, 16, 36, 48, 51, 66, 69, 69, 72, 72, 96, 98, 115, 115, 115, 115, 115, 115, 115, 115]","[10, 16, 36, 48, 51, 66, 69, 69, 72, 72, 96, 98, 115, 115, 115, 115, 115, 115, 115, 115]"
